[0.21185226 0.78814774]
[0.29157702 0.70842298]
[0.09800794 0.90199206]
[0.06086964 0.93913036]
[0.07959494 0.92040506]
[0.25310551 0.74689449]
[0.24673208 0.75326792]
[0.09542507 0.90457493]
[0.22529188 0.77470812]
[0.01473599 0.98526401]
[0.8732798 0.1267202]
[0.02216704 0.97783296]
[0.23318389 0.76681611]
[0.23114985 0.76885015]
[0.01350396 0.98649604]
[0.01473599 0.98526401]
[0.03815334 0.96184666]
[0.2438119 0.7561881]
[0.1950645 0.8049355]
[0.2923024 0.7076976]
[0.33815072 0.66184928]
[0.12048093 0.87951907]
[0.09990292 0.90009708]
[0.29126157 0.70873843]
[0.12567222 0.87432778]
[0.04242776 0.95757224]
[0.0968341 0.9031659]
[0.00759632 0.99240368]
[0.29508038 0.70491962]
[0.37911221 0.62088779]
[0.2917303 0.7082697]
[0.67443619 0.32556381]
[0.91478282 0.08521718]
[0.00839468 0.99160532]
[0.15811153 0.84188847]
[0.27368254 0.72631746]
[0.23494859 0.76505141]
[0.15616973 0.84383027]
[0.28470941 0.71529059]
[0.59756802 0.40243198]
[0.09628044 0.90371956]
[0.18334123 0.81665877]
[0.24523558 0.75476442]
[0.16047312 0.83952688]
[0.48629571 0.51370429]
[0.08139345 0.91860655]
[0.76405547 0.23594453]
[0.43977592 0.56022408]
[0.23603323 0.76396677]
[0.30775607 0.69224393]
[0.19209903 0.80790097]
[0.51828009 0.48171991]
[0.16066212 0.83933788]
[0.66944923 0.33055077]
[0.25416329 0.74583671]
[0.3345139 0.6654861]
[0.14992787 0.85007213]
[0.14443233 0.85556767]
[0.53454378 0.46545622]
[0.1184568 0.8815432]
[0.10972251 0.89027749]
[0.26532422 0.73467578]
[0.16265296 0.83734704]
[0.05316477 0.94683523]
[0.02977484 0.97022516]
[0.01473599 0.98526401]
[0.2591422 0.7408578]
[0.2377893 0.7622107]
[0.26476973 0.73523027]
[0.24366861 0.75633139]
[0.36524453 0.63475547]
[0.16468064 0.83531936]
[0.35178799 0.64821201]
[0.43580727 0.56419273]
[0.65851805 0.34148195]
[0.23687761 0.76312239]
[0.32535752 0.67464248]
[0.20918708 0.79081292]
[0.14854601 0.85145399]
[0.0915964 0.9084036]
[0.37047053 0.62952947]
[0.19617742 0.80382258]
[0.87090911 0.12909089]
[0.22529188 0.77470812]
[0.12265523 0.87734477]
[0.24016831 0.75983169]
[0.09305693 0.90694307]
[0.18174603 0.81825397]
[0.35584506 0.64415494]
[0.21795896 0.78204104]
[0.0452803 0.9547197]
[0.40112109 0.59887891]
[0.41889928 0.58110072]
[0.12746494 0.87253506]
[0.06695123 0.93304877]
[0.28010671 0.71989329]
[0.31780922 0.68219078]
[0.21487166 0.78512834]
[0.22854045 0.77145955]
[0.11195036 0.88804964]
[0.0701145 0.9298855]
[0.10192262 0.89807738]
[0.13246083 0.86753917]
[0.17496266 0.82503734]
[0.0333485 0.9666515]
[0.20164778 0.79835222]
[0.16529822 0.83470178]
[0.34567631 0.65432369]
[0.29566829 0.70433171]
[0.70781412 0.29218588]
[0.33877305 0.66122695]
[0.11531649 0.88468351]
[0.06502098 0.93497902]
[0.19626987 0.80373013]
[0.02660907 0.97339093]
[0.84411134 0.15588866]
[0.54535188 0.45464812]
[0.01066361 0.98933639]
[0.11039523 0.88960477]
[0.09473883 0.90526117]
[0.2000469 0.7999531]
[0.24548354 0.75451646]
[0.16772628 0.83227372]
[0.12802617 0.87197383]
[0.2850935 0.7149065]
[0.20637967 0.79362033]
[0.28572033 0.71427967]
[0.01473599 0.98526401]
[0.13741323 0.86258677]
[0.00143678 0.99856322]
[0.22247762 0.77752238]
[0.02558153 0.97441847]
[0.07891583 0.92108417]
[0.01234212 0.98765788]
[0.04470912 0.95529088]
[0.66840448 0.33159552]
[0.25458169 0.74541831]
[0.29582766 0.70417234]
[0.08020574 0.91979426]
[0.14627605 0.85372395]
[0.23687761 0.76312239]
[0.22522109 0.77477891]
[0.20188335 0.79811665]
[0.27798485 0.72201515]
[0.36833497 0.63166503]
[0.39657011 0.60342989]
[0.39921749 0.60078251]
[0.05371967 0.94628033]
[0.03334404 0.96665596]
[0.01473599 0.98526401]
[0.62248867 0.37751133]
[0.58273654 0.41726346]
[0.06574884 0.93425116]
[0.23494859 0.76505141]
[0.26913264 0.73086736]
[0.50238116 0.49761884]
[0.01234275 0.98765725]
[0.17070772 0.82929228]
[0.23828252 0.76171748]
[0.39255661 0.60744339]
[0.09990292 0.90009708]
[0.42386385 0.57613615]
[0.84301432 0.15698568]
[0.61916567 0.38083433]
[0.33932341 0.66067659]
[0.07969721 0.92030279]
[0.12807563 0.87192437]
[0.26279666 0.73720334]
[0.04214514 0.95785486]
[0.52637249 0.47362751]
[0.13246083 0.86753917]
[0.96535841 0.03464159]
[0.09393122 0.90606878]
[0.24640324 0.75359676]
[0.28369267 0.71630733]
[0.32271941 0.67728059]
[0.26481023 0.73518977]
[0.07385649 0.92614351]
[0.0956111 0.9043889]
[0.55773347 0.44226653]
[0.0915964 0.9084036]
[0.78135337 0.21864663]
[0.38369553 0.61630447]
[0.05481037 0.94518963]
[0.24318958 0.75681042]
[0.23494859 0.76505141]
[0.24330769 0.75669231]
[0.17417284 0.82582716]
[0.29845593 0.70154407]
[0.09221825 0.90778175]
[0.12895708 0.87104292]
[0.26378643 0.73621357]
[0.44319721 0.55680279]
[0.40802248 0.59197752]
[0.05796253 0.94203747]
[0.27548391 0.72451609]
[0.240741 0.759259]
[0.29402501 0.70597499]
[0.2923024 0.7076976]
[0.28417017 0.71582983]
[0.19452987 0.80547013]
[0.27622697 0.72377303]
[0.12337482 0.87662518]
[0.01473599 0.98526401]
[0.13374427 0.86625573]
[0.04781486 0.95218514]
[0.6258747 0.3741253]
[0.16995541 0.83004459]
[0.30181846 0.69818154]
[0.19582976 0.80417024]
[0.29697981 0.70302019]
[0.32179613 0.67820387]
[0.19667969 0.80332031]
[0.29402501 0.70597499]
[0.03941516 0.96058484]
[0.03454459 0.96545541]
[0.10859595 0.89140405]
[0.31143848 0.68856152]
[0.21665404 0.78334596]
[0.24548354 0.75451646]
[0.39387253 0.60612747]
[0.09716914 0.90283086]
[0.09069174 0.90930826]
[0.34309507 0.65690493]
[0.39403543 0.60596457]
[0.22665505 0.77334495]
[0.05838911 0.94161089]
[0.20572893 0.79427107]
[0.29126157 0.70873843]
[0.2377893 0.7622107]
[0.0915964 0.9084036]
[0.22476947 0.77523053]
[0.18125296 0.81874704]
[0.00849522 0.99150478]
[0.20916966 0.79083034]
[0.06066142 0.93933858]
[0.01234212 0.98765788]
[0.15215476 0.84784524]
[0.25509695 0.74490305]
[0.40733607 0.59266393]
[0.39155651 0.60844349]
[0.70652611 0.29347389]
[0.17374283 0.82625717]
[0.26441035 0.73558965]
[0.21934676 0.78065324]
[0.10315537 0.89684463]
[0.270716 0.729284]
[0.17471266 0.82528734]
[0.1545235 0.8454765]
[0.48896944 0.51103056]
[0.14572763 0.85427237]
[0.29402501 0.70597499]
[0.27798485 0.72201515]
[0.10100616 0.89899384]
[0.32034589 0.67965411]
[0.49556358 0.50443642]
[0.32071117 0.67928883]
[0.25453411 0.74546589]
[0.28664418 0.71335582]
[0.22902302 0.77097698]
[0.29845593 0.70154407]
[0.32142295 0.67857705]
[0.28905743 0.71094257]
[0.21292911 0.78707089]
[0.00895532 0.99104468]
[0.33657087 0.66342913]
[0.05162521 0.94837479]
[0.4125676 0.5874324]
[0.09647797 0.90352203]
[0.28102425 0.71897575]
[0.75751055 0.24248945]
[0.24230982 0.75769018]
[0.2377893 0.7622107]
[0.22529188 0.77470812]
[1.50137331e-04 9.99849863e-01]
[0.15478001 0.84521999]
[0.05616014 0.94383986]
[0.22529188 0.77470812]
[0.27540747 0.72459253]
[0.20390953 0.79609047]
[0.24318958 0.75681042]
[0.29848218 0.70151782]
[0.2192667 0.7807333]
[0.44688673 0.55311327]
[0.2822707 0.7177293]
[0.3074556 0.6925444]
[0.10541219 0.89458781]
[0.10987182 0.89012818]
[0.49049084 0.50950916]
[0.78792742 0.21207258]
[0.21802076 0.78197924]
[0.19258346 0.80741654]
[0.00717624 0.99282376]
[0.36217189 0.63782811]
[0.29597167 0.70402833]
[0.33694106 0.66305894]
[0.0955622 0.9044378]
[0.28470941 0.71529059]
[0.21886482 0.78113518]
[0.22529188 0.77470812]
[0.09956401 0.90043599]
[0.39003197 0.60996803]
[0.50369026 0.49630974]
[0.28470941 0.71529059]
[0.02506294 0.97493706]
[0.1539928 0.8460072]
[0.21441901 0.78558099]
[0.07675462 0.92324538]
[0.50286044 0.49713956]
[0.26312781 0.73687219]
[0.01198747 0.98801253]
[0.23837074 0.76162926]
[0.08321722 0.91678278]
[0.01473599 0.98526401]
[0.249415 0.750585]
[0.37487682 0.62512318]
[0.11991535 0.88008465]
[0.40923066 0.59076934]
[0.2556932 0.7443068]
[0.01280732 0.98719268]
[0.78255493 0.21744507]
[0.15462312 0.84537688]
[0.19667969 0.80332031]
[0.24150797 0.75849203]
[0.90484141 0.09515859]
[0.99033252 0.00966748]
[0.28593002 0.71406998]
[0.23089925 0.76910075]
[0.23700178 0.76299822]
[0.23246675 0.76753325]
[0.39976913 0.60023087]
[0.10213559 0.89786441]
[0.09738936 0.90261064]
[0.09532052 0.90467948]
[0.20679012 0.79320988]
[0.03927894 0.96072106]
[0.26279126 0.73720874]
[0.23512703 0.76487297]
[0.06805464 0.93194536]
[0.11700081 0.88299919]
[0.13741323 0.86258677]
[0.35644047 0.64355953]
[0.28657143 0.71342857]
[0.3176895 0.6823105]
[0.2321357 0.7678643]
[0.07865132 0.92134868]
[0.12145804 0.87854196]
[0.11182252 0.88817748]
[0.30816129 0.69183871]
[0.03475408 0.96524592]
[0.28386105 0.71613895]
[0.33457512 0.66542488]
[0.00881253 0.99118747]
[0.38472565 0.61527435]
[0.1705472 0.8294528]
[0.29278954 0.70721046]
[0.05259441 0.94740559]
[0.22248074 0.77751926]
[0.11320167 0.88679833]
[0.05672325 0.94327675]
[0.12567222 0.87432778]
[0.12567222 0.87432778]
[0.54510214 0.45489786]
[0.32286932 0.67713068]
[0.71655228 0.28344772]
[0.09192894 0.90807106]
[0.05275409 0.94724591]
[0.27591488 0.72408512]
[0.12804444 0.87195556]
[0.17397232 0.82602768]
[0.25714439 0.74285561]
[0.38027608 0.61972392]
[0.12452286 0.87547714]
[0.4109256 0.5890744]
[0.2923024 0.7076976]
[0.00862881 0.99137119]
[0.62248867 0.37751133]
[0.15511677 0.84488323]
[0.06395273 0.93604727]
[0.01254137 0.98745863]
[0.28470941 0.71529059]
[0.4676234 0.5323766]
[0.21856507 0.78143493]
[0.08568783 0.91431217]
[0.50229639 0.49770361]
[0.28562352 0.71437648]
[0.44149351 0.55850649]
[0.38357876 0.61642124]
[0.4890248 0.5109752]
[0.66760536 0.33239464]
[0.17016221 0.82983779]
[0.2377893 0.7622107]
[0.15616973 0.84383027]
[0.29249735 0.70750265]
[0.28792534 0.71207466]
[0.25295187 0.74704813]
[0.41524267 0.58475733]
[0.18590046 0.81409954]
[0.39273796 0.60726204]
[0.56187764 0.43812236]
[0.01284343 0.98715657]
[0.33545092 0.66454908]
[0.24641323 0.75358677]
[0.01264541 0.98735459]
[0.02963075 0.97036925]
[0.40181361 0.59818639]
[0.12984748 0.87015252]
[0.23687761 0.76312239]
[0.1513636 0.8486364]
[0.36481238 0.63518762]
[0.03896301 0.96103699]
[0.09648987 0.90351013]
[0.32783001 0.67216999]
[0.29126157 0.70873843]
[0.45326973 0.54673027]
[0.20993635 0.79006365]
[0.23114985 0.76885015]
[0.57015355 0.42984645]
[0.33296184 0.66703816]
[0.05976529 0.94023471]
[0.38327143 0.61672857]
[0.15338934 0.84661066]
[0.20806532 0.79193468]
[0.66595731 0.33404269]
[0.33645585 0.66354415]
[0.02638705 0.97361295]
[0.2781122 0.7218878]
[0.41868224 0.58131776]
[0.09870887 0.90129113]
[0.24320998 0.75679002]
[0.33695056 0.66304944]
[0.32749883 0.67250117]
[0.32324127 0.67675873]
[0.09198341 0.90801659]
[0.12984748 0.87015252]
[0.18400222 0.81599778]
[0.23244585 0.76755415]
[0.24135617 0.75864383]
[0.29402501 0.70597499]
[0.65174919 0.34825081]
[0.07695499 0.92304501]
[0.09575575 0.90424425]
[0.17354976 0.82645024]
[0.22529188 0.77470812]
[0.00322433 0.99677567]
[0.01315749 0.98684251]
[0.35285142 0.64714858]
[0.16158831 0.83841169]
[0.19571234 0.80428766]
[0.25791759 0.74208241]
[0.34576072 0.65423928]
[0.0118025 0.9881975]
[0.90897743 0.09102257]
[0.27690846 0.72309154]
[0.32710366 0.67289634]
[0.29819752 0.70180248]
[0.2046035 0.7953965]
[0.31617615 0.68382385]
[0.0968341 0.9031659]
[0.06234491 0.93765509]
[0.27493245 0.72506755]
[0.16461001 0.83538999]
[0.23294452 0.76705548]
[0.23770603 0.76229397]
[0.29126157 0.70873843]
[0.32672194 0.67327806]
[0.22819827 0.77180173]
[0.24074717 0.75925283]
[0.16007657 0.83992343]
[0.2822707 0.7177293]
[0.27090817 0.72909183]
[0.2429077 0.7570923]
[0.2270545 0.7729455]
[0.05901659 0.94098341]
[0.02739006 0.97260994]
[0.06314787 0.93685213]
[0.40152631 0.59847369]
[0.14222654 0.85777346]
[0.08524771 0.91475229]
[0.16580904 0.83419096]
[0.33219683 0.66780317]
[0.63252801 0.36747199]
[0.25385547 0.74614453]
[0.07468885 0.92531115]
[0.33577713 0.66422287]
[0.0126039 0.9873961]
[0.24318958 0.75681042]
[0.46474156 0.53525844]
[0.29845593 0.70154407]
[0.32434518 0.67565482]
[0.16242681 0.83757319]
[0.173733 0.826267]
[0.08981042 0.91018958]
[0.13008292 0.86991708]
[0.27798485 0.72201515]
[0.51943939 0.48056061]
[0.26323856 0.73676144]
[0.24318958 0.75681042]
[0.54930868 0.45069132]
[0.51320559 0.48679441]
